seq:	Ia	Ib	Ic	In	Va	Vb	Vc	Vn
193	-11.1562	-262.193	276.152	0	-13.9587	-260.385	276.152	0	
194	9.01148	-276.152	262.193	0	13.9587	-277.96	262.193	0	
195	45.3607	-287.887	246.124	0	41.7636	-290.5	246.124	0	
196	64.8552	-297.304	228.072	0	69.2323	-296.659	228.072	0	
197	104.921	-304.328	208.185	0	96.1435	-301.428	208.185	0	
198	119.553	-308.901	186.621	0	122.281	-308.256	186.621	0	
199	143.859	-310.988	163.554	0	147.433	-313.601	163.554	0	
200	170.593	-310.57	139.171	0	171.399	-312.378	139.171	0	
201	186.002	-307.652	113.667	0	193.984	-305.844	113.667	0	
202	215.337	-302.257	87.2485	0	215.008	-299.644	87.2485	0	
203	224.939	-294.428	60.1271	0	234.301	-295.073	60.1271	0	
204	259.96	-284.229	32.5216	0	251.707	-287.129	32.5216	0	
205	261.062	-271.741	4.65428	0	267.087	-272.386	4.65428	0	
206	280.627	-257.065	-23.2505	0	280.316	-254.452	-23.2505	0	
207	291.957	-240.32	-50.9682	0	291.288	-238.512	-50.9682	0	
208	299.643	-221.639	-78.2754	0	299.915	-223.448	-78.2754	0	
209	313.052	-201.175	-104.952	0	306.127	-203.787	-104.952	0	
210	308.979	-179.09	-130.784	0	309.874	-178.445	-130.784	0	
211	328.227	-155.563	-155.563	0	311.127	-152.663	-155.563	0	
212	308.979	-130.784	-179.09	0	309.874	-130.139	-179.09	0	
213	313.052	-104.952	-201.175	0	306.127	-107.565	-201.175	0	
214	299.643	-78.2754	-221.639	0	299.915	-80.0835	-221.639	0	
215	291.957	-50.9682	-240.32	0	291.288	-49.1601	-240.32	0	
216	280.627	-23.2505	-257.065	0	280.316	-20.6377	-257.065	0	
217	261.062	4.65428	-271.741	0	267.087	4.00896	-271.741	0	
218	259.96	32.5216	-284.229	0	251.707	29.6216	-284.229	0	
219	224.939	60.1271	-294.428	0	234.301	59.4818	-294.428	0	
220	215.337	87.2485	-302.257	0	215.008	89.8613	-302.257	0	
221	186.002	113.667	-307.652	0	193.984	115.476	-307.652	0	
222	170.593	139.171	-310.57	0	171.399	137.363	-310.57	0	
223	143.859	163.554	-310.988	0	147.433	160.942	-310.988	0	
224	119.553	186.621	-308.901	0	122.281	187.266	-308.901	0	
225	104.921	208.185	-304.328	0	96.1435	211.085	-304.328	0	
226	64.8552	228.072	-297.304	0	69.2323	228.718	-297.304	0	
227	45.3607	246.124	-287.887	0	41.7636	243.511	-287.887	0	
228	9.01148	262.193	-276.152	0	13.9587	260.385	-276.152	0	
229	-11.1562	276.152	-262.193	0	-13.9587	277.96	-262.193	0	
230	-46.0544	287.887	-246.124	0	-41.7636	290.5	-246.124	0	
231	-69.5786	297.304	-228.072	0	-69.2323	296.659	-228.072	0	
232	-90.797	304.328	-208.185	0	-96.1435	301.428	-208.185	0	
233	-125.645	308.901	-186.621	0	-122.281	308.256	-186.621	0	
234	-147.066	310.988	-163.554	0	-147.433	313.601	-163.554	0	
235	-175.981	310.57	-139.171	0	-171.399	312.378	-139.171	0	
236	-191.569	307.652	-113.667	0	-193.984	305.844	-113.667	0	
237	-219.018	302.257	-87.2485	0	-215.008	299.644	-87.2485	0	
238	-231.623	294.428	-60.1271	0	-234.301	295.073	-60.1271	0	
239	-246.284	284.229	-32.5216	0	-251.707	287.129	-32.5216	0	
240	-265.774	271.741	-4.65428	0	-267.087	272.386	-4.65428	0	
241	-280.537	257.065	23.2505	0	-280.316	254.452	23.2505	0	
242	-292.284	240.32	50.9682	0	-291.288	238.512	50.9682	0	
243	-298.765	221.639	78.2754	0	-299.915	223.448	78.2754	0	
244	-309.48	201.175	104.952	0	-306.127	203.787	104.952	0	
245	-308.302	179.09	130.784	0	-309.874	178.445	130.784	0	
246	-307.827	155.563	155.563	0	-311.127	152.663	155.563	0	
247	-308.302	130.784	179.09	0	-309.874	130.139	179.09	0	
248	-309.48	104.952	201.175	0	-306.127	107.565	201.175	0	
249	-298.765	78.2754	221.639	0	-299.915	80.0835	221.639	0	
250	-292.284	50.9682	240.32	0	-291.288	49.1601	240.32	0	
251	-280.537	23.2505	257.065	0	-280.316	20.6377	257.065	0	
252	-265.774	-4.65428	271.741	0	-267.087	-4.00896	271.741	0	
253	-246.284	-32.5216	284.229	0	-251.707	-29.6216	284.229	0	
254	-231.623	-60.1271	294.428	0	-234.301	-59.4818	294.428	0	
255	-219.018	-87.2485	302.257	0	-215.008	-89.8613	302.257	0	
256	-191.569	-113.667	307.652	0	-193.984	-115.476	307.652	0	
257	-175.981	-139.171	310.57	0	-171.399	-137.363	310.57	0	
258	-147.066	-163.554	310.988	0	-147.433	-160.942	310.988	0	
259	-125.645	-186.621	308.901	0	-122.281	-187.266	308.901	0	
260	-90.797	-208.185	304.328	0	-96.1435	-211.085	304.328	0	
261	-69.5786	-228.072	297.304	0	-69.2323	-228.718	297.304	0	
262	-46.0544	-246.124	287.887	0	-41.7636	-243.511	287.887	0	
263	-11.1562	-262.193	276.152	0	-13.9587	-260.385	276.152	0	
264	9.01148	-276.152	262.193	0	13.9587	-277.96	262.193	0	
265	45.3607	-287.887	246.124	0	41.7636	-290.5	246.124	0	
266	64.8552	-297.304	228.072	0	69.2323	-296.659	228.072	0	
267	104.921	-304.328	208.185	0	96.1435	-301.428	208.185	0	
268	119.553	-308.901	186.621	0	122.281	-308.256	186.621	0	
269	143.859	-310.988	163.554	0	147.433	-313.601	163.554	0	
270	170.593	-310.57	139.171	0	171.399	-312.378	139.171	0	
271	186.002	-307.652	113.667	0	193.984	-305.844	113.667	0	
272	215.337	-302.257	87.2485	0	215.008	-299.644	87.2485	0	
273	224.939	-294.428	60.1271	0	234.301	-295.073	60.1271	0	
274	259.96	-284.229	32.5216	0	251.707	-287.129	32.5216	0	
275	261.062	-271.741	4.65428	0	267.087	-272.386	4.65428	0	
276	280.627	-257.065	-23.2505	0	280.316	-254.452	-23.2505	0	
277	291.957	-240.32	-50.9682	0	291.288	-238.512	-50.9682	0	
278	299.643	-221.639	-78.2754	0	299.915	-223.448	-78.2754	0	
279	313.052	-201.175	-104.952	0	306.127	-203.787	-104.952	0	
280	308.979	-179.09	-130.784	0	309.874	-178.445	-130.784	0	
281	328.227	-155.563	-155.563	0	311.127	-152.663	-155.563	0	
282	308.979	-130.784	-179.09	0	309.874	-130.139	-179.09	0	
283	313.052	-104.952	-201.175	0	306.127	-107.565	-201.175	0	
284	299.643	-78.2754	-221.639	0	299.915	-80.0835	-221.639	0	
285	291.957	-50.9682	-240.32	0	291.288	-49.1601	-240.32	0	
286	280.627	-23.2505	-257.065	0	280.316	-20.6377	-257.065	0	
287	261.062	4.65428	-271.741	0	267.087	4.00896	-271.741	0	
288	259.96	32.5216	-284.229	0	251.707	29.6216	-284.229	0	
289	224.939	60.1271	-294.428	0	234.301	59.4818	-294.428	0	
290	215.337	87.2485	-302.257	0	215.008	89.8613	-302.257	0	
291	186.002	113.667	-307.652	0	193.984	115.476	-307.652	0	
292	170.593	139.171	-310.57	0	171.399	137.363	-310.57	0	
293	143.859	163.554	-310.988	0	147.433	160.942	-310.988	0	
294	119.553	186.621	-308.901	0	122.281	187.266	-308.901	0	
295	104.921	208.185	-304.328	0	96.1435	211.085	-304.328	0	
296	64.8552	228.072	-297.304	0	69.2323	228.718	-297.304	0	
297	45.3607	246.124	-287.887	0	41.7636	243.511	-287.887	0	
298	9.01148	262.193	-276.152	0	13.9587	260.385	-276.152	0	
299	-11.1562	276.152	-262.193	0	-13.9587	277.96	-262.193	0	
300	-46.0544	287.887	-246.124	0	-41.7636	290.5	-246.124	0	
301	-69.5786	297.304	-228.072	0	-69.2323	296.659	-228.072	0	
302	-90.797	304.328	-208.185	0	-96.1435	301.428	-208.185	0	
303	-125.645	308.901	-186.621	0	-122.281	308.256	-186.621	0	
304	-147.066	310.988	-163.554	0	-147.433	313.601	-163.554	0	
305	-175.981	310.57	-139.171	0	-171.399	312.378	-139.171	0	
306	-191.569	307.652	-113.667	0	-193.984	305.844	-113.667	0	
307	-219.018	302.257	-87.2485	0	-215.008	299.644	-87.2485	0	
308	-231.623	294.428	-60.1271	0	-234.301	295.073	-60.1271	0	
